Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,0,0,0,0
Mar 08,2,2,0,0
Mar 09,6,6,0,0
Mar 10,10,10,0,0
Mar 11,15,14,1,1
Mar 12,23,22,1,1
Mar 13,33,32,1,1
Mar 14,38,37,1,1
Mar 15,42,41,1,1
Mar 16,51,50,1,1
Mar 17,55,54,1,1
Mar 18,59,57,2,2
Mar 19,64,62,2,2
Mar 20,70,66,2,4
Mar 21,76,72,2,4
Mar 22,89,85,2,4
Mar 23,104,98,4,6
Mar 24,123,108,5,15
Mar 25,146,124,5,22
Mar 26,174,151,6,23
Mar 27,186,147,8,39
Mar 28,197,156,10,41
Mar 29,212,169,10,43
Mar 30,223,168,11,55
Mar 31,243,176,15,67
Apr 01,259,177,15,82
Apr 02,277,185,16,92
Apr 03,304,198,17,106
Apr 04,333,214,20,119
Apr 05,361,237,20,124
Apr 06,377,240,21,137
Apr 07,383,230,22,153
Apr 08,400,224,22,176
Apr 09,409,221,23,188
Apr 10,416,211,23,205
Apr 11,433,213,23,220
Apr 12,446,206,23,240
Apr 13,467,212,23,255
Apr 14,475,203,24,272
Apr 15,494,218,25,276
Apr 16,518,215,26,303
Apr 17,539,230,26,309
Apr 18,548,220,26,328
Apr 19,562,222,26,340
Apr 20,584,231,26,353
Apr 21,609,238,26,371
Apr 22,634,251,27,383
Apr 23,663,251,27,412
Apr 24,678,257,27,421
Apr 25,712,282,27,430
Apr 26,726,288,28,438
Apr 27,736,286,28,450
Apr 28,750,289,30,461
Apr 29,766,281,30,485
Apr 30,773,272,31,501
May 01,782,263,31,519
May 02,789,239,31,550
May 03,795,233,31,562
May 04,803,229,31,574
May 05,820,219,31,601
May 06,832,206,31,626
May 07,842,206,31,636
May 08,850,199,31,651
May 09,856,198,31,658
May 10,868,187,31,681
May 11,872,187,31,685
May 12,876,163,31,713
May 13,880,161,31,719
May 14,898,173,31,725
May 15,916,180,31,736
May 16,933,188,31,745
May 17,946,200,31,746
May 18,948,190,31,758
May 19,949,176,31,773
May 20,964,175,31,789
May 21,969,167,31,802
May 22,981,173,31,808
May 23,989,175,31,814
May 24,998,177,32,821
May 25,1004,177,32,827
May 26,1029,193,33,836
May 27,1050,205,33,845
May 28,1076,220,33,856
May 29,1099,215,33,884
May 30,1122,232,33,890
May 31,1137,232,33,905
Jun 01,1143,233,33,910
Jun 02,1164,240,33,924
Jun 03,1184,253,33,931
Jun 04,1197,266,33,931
Jun 05,1212,269,33,943
Jun 06,1232,273,34,959
Jun 07,1246,274,34,972
Jun 08,1263,284,34,979
Jun 09,1299,305,34,994
Jun 10,1341,327,34,1014
Jun 11,1385,349,35,1036
Jun 12,1416,346,36,1070
Jun 13,1464,389,36,1075
Jun 14,1521,441,36,1080
Jun 15,1590,499,36,1091
Jun 16,1672,571,37,1101
Jun 17,1722,607,38,1115
Jun 18,1788,663,39,1125
Jun 19,1838,682,42,1156
Jun 20,1891,722,43,1169
Jun 21,1962,784,44,1178
Jun 22,1995,792,44,1203
Jun 23,2047,807,45,1240
Jun 24,2114,850,47,1264
Jun 25,2192,893,49,1299
Jun 26,2269,920,51,1349
Jun 27,2330,931,53,1399
Jun 28,2402,963,55,1439
Jun 29,2466,970,58,1496
Jun 30,2535,1014,62,1521
Jul 01,2580,999,65,1581
Jul 02,2662,1034,69,1628
Jul 03,2752,1088,72,1664
Jul 04,2819,1108,74,1711
Jul 05,2893,1160,76,1733
Jul 06,2964,1183,79,1781
Jul 07,3038,1213,81,1825
Jul 08,3106,1232,83,1874
Jul 09,3188,1273,83,1915
Jul 10,3278,1318,85,1960
Jul 11,3371,1401,89,1970
Jul 12,3454,1415,93,2039
Jul 13,3571,1462,95,2109
Jul 14,3667,1508,97,2159
Jul 15,3752,1560,101,2192
Jul 16,3851,1610,104,2241
Jul 17,3906,1585,107,2321
Jul 18,4008,1633,111,2375
Jul 19,4090,1667,112,2423
Jul 20,4171,1706,113,2465
Jul 21,4290,1776,117,2514
Jul 22,4358,1775,120,2583
Jul 23,4466,1820,123,2646
Jul 24,4570,1834,128,2736
Jul 25,4637,1866,134,2771
Jul 26,4763,1943,138,2820
Jul 27,4880,1991,144,2889
Jul 28,4997,2060,148,2937
Jul 29,5105,2125,150,2980
Jul 30,5197,2160,154,3037
Jul 31,5276,2167,157,3109
Aug 01,5396,2274,161,3122
Aug 02,5519,2335,166,3184
Aug 03,5620,2417,172,3203
Aug 04,5750,2543,176,3207
Aug 05,5889,2584,182,3305
Aug 06,6016,2673,188,3343
Aug 07,6151,2735,189,3416
Aug 08,6275,2814,193,3461
Aug 09,6411,2870,199,3541
Aug 10,6536,2957,200,3579
Aug 11,6676,2991,205,3685
Aug 12,6817,3057,208,3760
Aug 13,6971,3142,213,3829
Aug 14,7117,3203,219,3914
Aug 15,7260,3289,225,3971
Aug 16,7380,3358,228,4022
Aug 17,7499,3453,230,4046
Aug 18,7654,3551,232,4103
Aug 19,7812,3650,234,4162
Aug 20,7967,3743,238,4224
