Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,2,2,0,0
Mar 06,8,8,0,0
Mar 07,9,8,1,1
Mar 08,12,11,1,1
Mar 09,17,16,1,1
Mar 10,19,18,1,1
Mar 11,21,20,1,1
Mar 12,31,30,1,1
Mar 13,34,32,2,2
Mar 14,45,43,2,2
Mar 15,56,51,2,5
Mar 16,65,60,2,5
Mar 17,79,74,2,5
Mar 18,97,92,2,5
Mar 19,128,122,3,6
Mar 20,158,152,3,6
Mar 21,158,151,4,7
Mar 22,266,235,4,31
Mar 23,301,246,4,55
Mar 24,387,329,6,58
Mar 25,502,442,8,60
Mar 26,589,505,12,84
Mar 27,589,504,13,85
Mar 28,745,654,19,91
Mar 29,820,709,20,111
Mar 30,820,569,23,251
Mar 31,1054,787,27,267
Apr 01,1133,853,32,280
Apr 02,1265,973,36,292
Apr 03,1353,1045,42,308
Apr 04,1451,1129,43,322
Apr 05,1554,1228,46,326
Apr 06,1628,1250,53,378
Apr 07,1715,1317,60,398
Apr 08,1795,1372,65,423
Apr 09,1894,1450,79,444
Apr 10,1975,1518,82,457
Apr 11,2142,1613,89,529
Apr 12,2142,1584,90,558
Apr 13,2277,1664,98,613
