Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,0,0,0,0
Mar 05,0,0,0,0
Mar 06,0,0,0,0
Mar 07,2,2,0,0
Mar 08,4,4,0,0
Mar 09,4,4,0,0
Mar 10,6,6,0,0
Mar 11,7,6,1,1
Mar 12,23,22,1,1
Mar 13,31,30,1,1
Mar 14,41,39,2,2
Mar 15,51,49,2,2
Mar 16,62,60,2,2
Mar 17,81,79,2,2
Mar 18,92,90,2,2
Mar 19,107,104,3,3
Mar 20,127,123,3,4
Mar 21,163,157,3,6
Mar 22,187,181,3,6
Mar 23,201,195,3,6
Mar 24,218,212,3,6
Mar 25,242,235,3,7
Mar 26,264,253,3,11
Mar 27,293,281,3,12
Mar 28,331,313,7,18
Mar 29,346,324,8,22
Mar 30,359,334,8,25
Mar 31,399,374,8,25
Apr 01,422,392,10,30
Apr 02,457,422,10,35
Apr 03,485,441,14,44
Apr 04,503,452,17,51
Apr 05,531,474,20,57
Apr 06,549,488,22,61
Apr 07,577,512,23,65
Apr 08,593,527,24,66
Apr 09,618,546,24,72
Apr 10,635,556,25,79
Apr 11,661,571,28,90
Apr 12,675,578,29,97
Apr 13,685,582,32,103
Apr 14,713,597,35,116
Apr 15,747,606,36,141
Apr 16,800,640,38,160
Apr 17,846,664,41,182
Apr 18,878,684,41,194
Apr 19,894,691,42,203
Apr 20,929,719,43,210
Apr 21,975,760,45,215
Apr 22,1024,801,49,223
Apr 23,1097,855,52,242
Apr 24,1188,941,54,247
Apr 25,1247,995,55,252
Apr 26,1300,1039,56,261
Apr 27,1363,1099,58,264
Apr 28,1399,1119,58,280
