Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,8,7,0,1
Feb 16,8,7,0,1
Feb 17,8,7,0,1
Feb 18,8,7,0,1
Feb 19,8,7,0,1
Feb 20,8,6,0,2
Feb 21,9,6,0,3
Feb 22,9,6,0,3
Feb 23,10,7,0,3
Feb 24,11,8,0,3
Feb 25,11,8,0,3
Feb 26,12,9,0,3
Feb 27,14,11,0,3
Feb 28,15,12,0,3
Feb 29,20,16,0,4
Mar 01,24,20,0,4
Mar 02,27,20,0,7
Mar 03,30,23,0,7
Mar 04,34,27,0,7
Mar 05,37,29,0,8
Mar 06,54,46,0,8
Mar 07,60,52,0,8
Mar 08,66,58,0,8
Mar 09,77,68,1,9
Mar 10,95,86,1,9
Mar 11,110,100,1,10
Mar 12,142,130,1,12
Mar 13,198,186,1,12
Mar 14,252,240,1,12
Mar 15,341,329,1,12
Mar 16,441,426,4,15
Mar 17,598,578,8,20
Mar 18,727,706,9,21
Mar 19,873,850,12,23
Mar 20,1087,1061,12,26
Mar 21,1328,1295,19,33
Mar 22,1470,1436,20,34
Mar 23,2091,1747,24,344
Mar 24,2792,2654,26,138
Mar 25,3409,3188,36,221
Mar 26,4043,3776,39,267
Mar 27,4757,4348,55,409
Mar 28,5655,5199,60,456
Mar 29,6320,5682,65,638
Mar 30,7448,6266,89,1182
Mar 31,8612,7269,101,1343
Apr 01,9731,7881,114,1850
Apr 02,11283,9131,173,2152
Apr 03,12375,9981,208,2394
Apr 04,13912,11086,231,2826
Apr 05,15512,12290,280,3222
Apr 06,16667,12728,323,3939
Apr 07,17897,13488,381,4409
Apr 08,19438,14463,427,4975
Apr 09,20765,14945,509,5820
Apr 10,22148,15566,569,6582
Apr 11,23318,16237,653,7081
Apr 12,24383,16494,717,7889
Apr 13,25680,17144,780,8536
Apr 14,27063,17925,903,9138
Apr 15,28379,18390,1010,9989
Apr 16,30106,19182,1195,10924
Apr 17,31927,20074,1310,11853
Apr 18,33383,20706,1470,12677
Apr 19,35056,21626,1587,13430
Apr 20,36829,22553,1690,14276
Apr 21,38422,23400,1834,15022
Apr 22,40190,24230,1974,15960
Apr 23,42110,25202,2147,16908
Apr 24,43888,26117,2302,17771
Apr 25,45354,26464,2465,18890
Apr 26,46895,27014,2560,19881
Apr 27,48500,27525,2707,20975
Apr 28,50026,27977,2859,22049
Apr 29,51597,28274,2996,23323
Apr 30,53236,28629,3184,24607
May 01,55061,28919,3391,26142
May 02,56714,29347,3566,27367
May 03,59474,30884,3682,28590
May 04,60772,30901,3854,29871
May 05,62046,31010,4043,31036
May 06,63496,31093,4232,32403
May 07,64922,31542,4408,33380
May 08,66434,31459,4569,34975
May 09,67702,31760,4693,35942
May 10,68848,31882,4870,36966
May 11,69981,31994,4993,37987
May 12,71157,31946,5169,39211
May 13,72278,31812,5302,40466
May 14,73401,31838,5472,41563
May 15,74613,32156,5562,42457
May 16,75864,32366,5679,43498
May 17,77002,32670,5782,44332
May 18,78072,33002,5842,45070
May 19,79112,33150,5912,45962
May 20,80142,33335,6031,46807
May 21,81324,33457,6152,47867
May 22,82480,33636,6250,48844
May 23,83621,33961,6355,49660
May 24,84699,34290,6424,50409
May 25,85711,34528,6545,51183
May 26,86647,34669,6639,51978
May 27,87519,34590,6765,52929
May 28,88512,34795,6877,53717
May 29,89418,34921,6979,54497
May 30,90190,35014,7073,55176
May 31,90947,34773,7295,56174
Jun 01,91705,34653,7326,57052
Jun 02,92410,34658,7395,57752
Jun 03,93085,34539,7498,58546
Jun 04,93726,34350,7637,59376
Jun 05,94335,34064,7703,60271
Jun 06,95057,33670,7773,61387
Jun 07,95699,33666,7800,62033
Jun 08,96244,33409,7835,62835
Jun 09,96653,33184,7897,63469
Jun 10,97125,32526,7960,64599
Jun 11,97530,31878,7994,65652
Jun 12,97943,31371,8049,66572
Jun 13,98410,30949,8107,67461
Jun 14,98787,30369,8146,68418
Jun 15,99147,29930,8175,69217
Jun 16,99467,29811,8213,69656
Jun 17,99853,29582,8254,70271
Jun 18,100220,29424,8300,70796
Jun 19,100629,29280,8346,71349
Jun 20,101019,29121,8410,71898
Jun 21,101337,29021,8430,72316
Jun 22,101637,28867,8436,72770
Jun 23,101963,28805,8454,73158
Jun 24,102242,28667,8484,73575
Jun 25,102622,28693,8504,73929
Jun 26,102794,28560,8508,74234
Jun 27,103032,28543,8516,74489
Jun 28,103250,28537,8522,74713
Jun 29,103918,28174,8566,75744
Jun 30,104204,28019,8591,76185
Jul 01,104271,27912,8615,76359
Jul 02,104772,27783,8642,76989
Jul 03,105091,27735,8663,77356
Jul 04,105317,27653,8674,77664
Jul 05,105536,27613,8684,77923
Jul 06,105935,27672,8693,78263
Jul 07,106167,27573,8711,78594
Jul 08,106434,27450,8737,78984
Jul 09,106805,27482,8749,79323
Jul 10,107126,27466,8759,79660
Jul 11,107347,27308,8773,80039
Jul 12,107590,27340,8783,80250
Jul 13,108155,27524,8790,80631
Jul 14,108486,27518,8798,80968
Jul 15,108829,27534,8810,81295
Jul 16,109264,27601,8827,81663
Jul 17,109669,4141,8839,105528
Jul 18,109999,4237,8848,105762
Jul 19,110338,4435,8852,105903
Jul 20,111124,4792,8858,106332
Jul 21,111697,5078,8862,106619
Jul 22,112240,5228,8870,107012
Jul 23,112672,5279,8874,107393
Jul 24,113206,5452,8881,107754
Jul 25,113556,5556,8885,108000
Jul 26,113911,5666,8890,108245
Jul 27,114597,5836,8901,108761
Jul 28,114994,5948,8912,109046
Jul 29,115470,6088,8917,109382
Jul 30,115799,6008,8929,109791
Jul 31,116312,6150,8935,110162
Aug 01,116599,6222,8941,110377
Aug 02,116884,6365,8945,110519
Aug 03,117031,6487,8947,110544
Aug 04,117792,6384,8958,111408
Aug 05,118187,6437,8962,111750
Aug 06,118561,6489,8966,112072
Aug 07,118985,6580,8970,112405
Aug 08,119221,6679,8976,112542
Aug 09,119451,6742,8981,112709
Aug 10,120132,4790,8987,115342
Aug 11,120421,4684,8991,115737
Aug 12,120844,4690,9006,116154
Aug 13,121234,4666,9015,116568
Aug 14,121652,4690,9020,116962
Aug 15,121889,4647,9024,117242
Aug 16,122087,4577,9026,117510
Aug 17,122872,4781,9032,118091
Aug 18,123154,4752,9045,118402
Aug 19,123490,4619,9049,118871
Aug 20,123873,4531,9054,119342
