Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,16,13,0,3
Feb 16,16,13,0,3
Feb 17,16,9,0,7
Feb 18,16,7,0,9
Feb 19,16,7,0,9
Feb 20,16,3,0,13
Feb 21,16,2,0,14
Feb 22,16,2,0,14
Feb 23,16,2,0,14
Feb 24,16,2,0,14
Feb 25,18,3,0,15
Feb 26,26,11,0,15
Feb 27,48,32,0,16
Feb 28,74,58,0,16
Feb 29,79,63,0,16
Mar 01,130,114,0,16
Mar 02,165,149,0,16
Mar 03,203,187,0,16
Mar 04,262,246,0,16
Mar 05,545,528,0,17
Mar 06,670,652,0,18
Mar 07,800,782,0,18
Mar 08,1040,1022,0,18
Mar 09,1224,1204,2,20
Mar 10,1565,1545,2,20
Mar 11,1966,1938,3,28
Mar 12,2745,2714,6,31
Mar 13,3675,3621,8,54
Mar 14,4599,4544,9,55
Mar 15,5813,5754,13,59
Mar 16,7272,7188,17,84
Mar 17,9367,9274,26,93
Mar 18,12327,12194,28,133
Mar 19,15320,15161,44,159
Mar 20,19848,19600,68,248
Mar 21,22364,22071,84,293
Mar 22,24873,24513,94,360
Mar 23,29056,28480,123,576
Mar 24,32991,29542,159,3449
Mar 25,37323,33570,206,3753
Mar 26,43938,37998,267,5940
Mar 27,50871,43862,351,7009
Mar 28,57695,48781,433,8914
Mar 29,62435,52683,541,9752
Mar 30,66885,52740,645,14145
Mar 31,71808,54933,775,16875
Apr 01,77981,58350,931,19631
Apr 02,84794,61247,1107,23547
Apr 03,91159,65309,1275,25850
Apr 04,96092,68248,1444,27844
Apr 05,100123,69839,1584,30284
Apr 06,103375,72865,1810,30510
Apr 07,107663,69566,2016,38097
Apr 08,113296,64647,2349,48649
Apr 09,118235,63221,2607,55014
Apr 10,122171,65522,2736,56649
Apr 11,125452,65181,2871,60271
Apr 12,127854,64532,3022,63322
Apr 13,130072,62578,3194,67494
Apr 14,132210,60515,3495,71695
Apr 15,134753,58349,3804,76404
Apr 16,137698,56646,4052,81052
Apr 17,141397,53931,4352,87466
Apr 18,143724,53786,4538,89938
Apr 19,145742,53100,4642,92642
Apr 20,147065,50703,4862,96362
Apr 21,148453,48167,5086,100286
Apr 22,150648,45933,5315,104715
Apr 23,153129,44254,5575,108875
Apr 24,154999,42439,5760,112560
Apr 25,156513,40836,5877,115677
Apr 26,157770,39794,5976,117976
Apr 27,158758,38132,6126,120626
Apr 28,159912,36198,6314,123714
Apr 29,161539,34672,6467,126867
Apr 30,163009,32886,6623,130123
May 01,164077,30441,6736,133636
May 02,164967,29155,6812,135812
May 03,165664,28198,6866,137466
May 04,166152,26459,6993,139693
May 05,167007,24914,6993,142093
May 06,168162,23191,7275,144971
May 07,169430,22138,7392,147292
May 08,170588,21378,7510,149210
May 09,171324,20475,7549,150849
May 10,171879,19910,7569,151969
May 11,172576,19298,7661,153278
May 12,173171,18233,7738,154938
May 13,174098,17537,7861,156561
May 14,174975,16747,7928,158228
May 15,175699,15998,8001,159701
May 16,176244,15617,8027,160627
May 17,176651,15202,8049,161449
May 18,177289,14566,8123,162723
May 19,177827,13934,8193,163893
May 20,178531,13361,8270,165170
May 21,179021,12712,8309,166309
May 22,179713,12361,8352,167352
May 23,179986,11720,8366,168266
May 24,180328,11657,8371,168671
May 25,180789,11161,8428,169628
May 26,181288,10790,8498,170498
May 27,181895,10562,8533,171333
May 28,182452,10682,8570,171770
May 29,183019,10325,8594,172694
May 30,183294,9794,8600,173500
May 31,183494,9689,8605,173805
Jun 01,183765,9247,8618,174518
Jun 02,184091,9017,8674,175074
Jun 03,184425,8426,8699,175999
Jun 04,184923,8387,8736,176536
Jun 05,185414,8151,8763,177263
Jun 06,185696,8027,8769,177669
Jun 07,185869,7993,8776,177876
Jun 08,186205,7822,8783,178383
Jun 09,186516,7485,8831,179031
Jun 10,186510,6966,8844,179544
Jun 11,186795,6744,8851,180051
Jun 12,187251,6788,8863,180463
Jun 13,187423,6656,8867,180767
Jun 14,187671,6601,8870,181070
Jun 15,188044,6559,8885,181485
Jun 16,188382,6372,8910,182010
Jun 17,189504,6977,8927,182527
Jun 18,190126,7080,8946,183046
Jun 19,190660,7300,8960,183360
Jun 20,191216,7555,8961,183661
Jun 21,191575,7713,8962,183862
Jun 22,192119,7850,8969,184269
Jun 23,192778,8092,8986,184686
Jun 24,193254,7951,9003,185303
Jun 25,193785,7973,9012,185812
Jun 26,194399,8273,9026,186126
Jun 27,194689,8163,9026,186526
Jun 28,194864,8135,9029,186729
Jun 29,195392,8251,9041,187141
Jun 30,195832,7680,9052,188152
Jul 01,196324,7463,9061,188861
Jul 02,196717,7353,9064,189364
Jul 03,197000,6927,9073,190073
Jul 04,197418,7037,9081,190381
Jul 05,197558,6772,9086,190786
Jul 06,198057,6765,9092,191292
Jul 07,198355,6552,9103,191803
Jul 08,198765,6950,9115,191815
Jul 09,199198,6473,9125,192725
Jul 10,199588,6458,9130,193130
Jul 11,199812,6178,9134,193634
Jul 12,199950,6216,9134,193734
Jul 13,200436,6197,9139,194239
Jul 14,200766,6122,9144,194644
Jul 15,201252,6104,9148,195148
Jul 16,201836,6279,9157,195557
Jul 17,202345,5985,9160,196360
Jul 18,202572,5910,9162,196662
Jul 19,202845,5882,9163,196963
Jul 20,203487,6514,9173,196973
Jul 21,203890,6610,9180,197280
Jul 22,204470,6688,9182,197782
Jul 23,205142,6955,9187,198187
Jul 24,205960,6359,9201,199601
Jul 25,206332,6530,9202,199802
Jul 26,206741,6938,9203,199803
Jul 27,207379,6774,9205,200605
Jul 28,207951,6744,9207,201207
Jul 29,208811,7599,9212,201212
Jul 30,209653,8432,9221,201221
Jul 31,210665,9141,9224,201524
Aug 01,211077,8251,9226,202826
Aug 02,211462,8636,9226,202826
Aug 03,212320,8388,9232,203932
Aug 04,213080,9148,9232,203932
Aug 05,214104,10159,9245,203945
Aug 06,215210,9758,9252,205452
Aug 07,216315,10861,9254,205454
Aug 08,216896,10236,9260,206660
Aug 09,217281,10621,9260,206660
Aug 10,218500,11335,9265,207165
Aug 11,219530,11362,9268,208168
Aug 12,220850,11674,9276,209176
Aug 13,222269,12188,9281,210081
Aug 14,223774,11935,9289,211839
Aug 15,224478,12288,9290,212190
Aug 16,224997,12807,9290,212190
Aug 17,226686,14490,9296,212196
Aug 18,228105,15900,9305,212205
Aug 19,229700,16486,9314,213214
Aug 20,231284,17160,9324,214124
