Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,2,2,0,0
Mar 05,4,4,0,0
Mar 06,4,4,0,0
Mar 07,5,5,0,0
Mar 08,7,7,0,0
Mar 09,9,9,0,0
Mar 10,12,12,0,0
Mar 11,13,13,0,0
Mar 12,16,16,0,0
Mar 13,19,18,0,1
Mar 14,30,29,0,1
Mar 15,32,30,1,2
Mar 16,39,36,1,3
Mar 17,50,47,1,3
Mar 18,58,55,1,3
Mar 19,73,70,1,3
Mar 20,85,74,4,11
Mar 21,103,92,4,11
Mar 22,131,109,6,22
Mar 23,167,138,8,29
Mar 24,187,157,9,30
Mar 25,226,195,10,31
Mar 26,261,223,10,38
Mar 27,300,256,10,44
Mar 28,343,298,11,45
Mar 29,408,361,13,47
Mar 30,447,398,15,49
Mar 31,492,439,16,53
Apr 01,525,465,20,60
Apr 02,585,522,21,63
Apr 03,623,554,26,69
Apr 04,678,588,32,90
Apr 05,733,633,34,100
Apr 06,744,639,38,105
Apr 07,817,699,47,118
Apr 08,895,743,58,152
Apr 09,980,818,66,162
Apr 10,1190,1001,77,189
Apr 11,1310,1110,85,200
Apr 12,1410,1193,99,217
Apr 13,1458,1229,109,229
Apr 14,1512,1268,122,244
Apr 15,1579,1253,134,326
Apr 16,1652,1311,142,341
Apr 17,1763,1400,156,363
Apr 18,1834,1431,172,403
Apr 19,1916,1477,189,439
Apr 20,1984,1518,199,466
Apr 21,2098,1598,213,500
Apr 22,2168,1648,225,520
Apr 23,2284,1655,239,629
Apr 24,2383,1732,250,651
Apr 25,2443,1723,262,720
Apr 26,2500,1743,272,757
Apr 27,2583,1805,280,778
Apr 28,2649,1842,291,807
