Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,1,1,0,0
Mar 01,1,1,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,6,6,0,0
Mar 05,13,13,0,0
Mar 06,18,18,0,0
Mar 07,19,19,0,0
Mar 08,21,21,0,0
Mar 09,24,24,0,0
Mar 10,34,34,0,0
Mar 11,43,42,1,1
Mar 12,70,69,1,1
Mar 13,90,89,1,1
Mar 14,129,127,2,2
Mar 15,170,167,2,3
Mar 16,223,216,2,7
Mar 17,292,285,2,7
Mar 18,366,359,2,7
Mar 19,557,549,3,8
Mar 20,683,675,3,8
Mar 21,785,777,3,8
Mar 22,906,897,4,9
Mar 23,1125,1114,6,11
Mar 24,1329,1317,7,12
Mar 25,1564,1550,9,14
Mar 26,1819,1795,19,24
Mar 27,2121,2094,22,27
Mar 28,2415,2374,36,41
Mar 29,2615,2564,46,51
Mar 30,2910,2851,54,59
Mar 31,3235,3159,71,76
Apr 01,3447,3357,85,90
Apr 02,3849,3746,98,103
Apr 03,4273,4128,120,145
Apr 04,4604,4442,137,162
Apr 05,4994,4811,158,183
Apr 06,5364,5165,174,199
Apr 07,5709,5474,210,235
Apr 08,6074,5814,235,260
Apr 09,6574,6286,263,288
Apr 10,8089,7777,287,312
Apr 11,8928,8583,320,345
Apr 12,9655,9296,334,359
Apr 13,10647,10257,365,390
Apr 14,11479,11048,406,431
Apr 15,12547,12026,444,521
Apr 16,13271,12708,486,563
Apr 17,13980,13373,530,607
Apr 18,14758,14110,571,648
Apr 19,15251,14564,610,687
Apr 20,15652,14888,687,764
Apr 21,16040,6077,730,9963
Apr 22,16671,6669,769,10002
Apr 23,17607,7580,794,10027
Apr 24,18184,7937,1014,10247
Apr 25,18561,8265,1063,10296
Apr 26,19262,8942,1087,10320
Apr 27,19648,9313,1102,10335
Apr 28,19877,9485,1159,10392
Apr 29,20253,5677,1190,14576
Apr 30,20612,5994,1232,14618
May 01,20833,6182,1265,14651
May 02,21176,6504,1286,14672
May 03,21506,6817,1303,14689
May 04,21772,7067,1319,14705
May 05,21983,7258,1339,14725
May 06,22248,3763,1375,18485
May 07,22385,3872,1403,18513
May 08,22541,4002,1429,18539
May 09,22760,4204,1446,18556
May 10,22996,4428,1458,18568
May 11,23135,4558,1467,18577
May 12,23242,4644,1488,18598
May 13,23401,2434,1497,20967
May 14,23827,2851,1506,20976
May 15,23956,2968,1518,20988
May 16,24048,3045,1533,21003
May 17,24112,3099,1543,21013
May 18,24200,3183,1547,21017
May 19,24251,3220,1561,21031
May 20,24315,1684,1571,22631
May 21,24391,1748,1583,22643
May 22,24506,1854,1592,22652
May 23,24582,1918,1604,22664
May 24,24639,1971,1608,22668
May 25,24698,2032,1606,22666
May 26,24735,2060,1615,22675
May 27,24803,1083,1631,23720
