Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,3,0,0
Feb 16,3,3,0,0
Feb 17,3,3,0,0
Feb 18,3,3,0,0
Feb 19,3,3,0,0
Feb 20,4,4,0,0
Feb 21,21,19,1,2
Feb 22,79,75,2,4
Feb 23,157,152,3,5
Feb 24,229,220,7,9
Feb 25,323,310,11,13
Feb 26,470,455,12,15
Feb 27,655,593,17,62
Feb 28,889,822,21,67
Feb 29,1128,1049,29,79
Mar 01,1702,1578,41,124
Mar 02,2038,1837,52,201
Mar 03,2504,2265,79,239
Mar 04,3092,2709,107,383
Mar 05,3861,3299,148,562
Mar 06,4639,3919,197,720
Mar 07,5886,5064,233,822
Mar 08,7380,6391,367,989
Mar 09,9179,7991,464,1188
Mar 10,10156,8518,633,1638
Mar 11,12469,10593,830,1876
Mar 12,15122,12842,1020,2280
Mar 13,17670,14958,1271,2712
Mar 14,21169,17753,1447,3416
Mar 15,24762,20607,1816,4155
Mar 16,27997,23077,2166,4920
Mar 17,31524,26066,2512,5458
Mar 18,35732,28711,2988,7021
Mar 19,41056,33191,3416,7865
Mar 20,47044,37859,4045,9185
Mar 21,53598,42672,4841,10926
Mar 22,59158,46625,5494,12533
Mar 23,63941,50396,6097,13545
Mar 24,69181,53995,6842,15186
Mar 25,74379,57469,7527,16910
Mar 26,80581,61956,8241,18625
Mar 27,86488,66352,9162,20136
Mar 28,92461,69997,10053,22464
Mar 29,97676,73806,10811,23870
Mar 30,101723,75444,11626,26279
Mar 31,105776,77545,12466,28231
Apr 01,110559,80478,13195,30081
Apr 02,115228,82951,13957,32277
Apr 03,119813,85283,14726,34530
Apr 04,124620,88166,15409,36454
Apr 05,128938,91137,15935,37801
Apr 06,132537,93074,16573,39463
Apr 07,135574,93946,17179,41628
Apr 08,139408,95133,17722,44275
Apr 09,143612,96741,18334,46871
Apr 10,147562,98129,18906,49433
Apr 11,152259,100121,19527,52138
Apr 12,156353,102102,19959,54251
Apr 13,159506,103460,20527,56046
Apr 14,162479,104130,21131,58349
Apr 15,165145,105252,21711,59893
Apr 16,168932,106436,22237,62496
Apr 17,172426,106795,22803,65631
Apr 18,175918,107597,23286,68321
Apr 19,178965,108077,23720,70888
Apr 20,181216,108047,24175,73169
Apr 21,183943,107509,24710,76434
Apr 22,187313,107491,25148,79822
Apr 23,189957,106630,25613,83327
Apr 24,192979,106302,26034,86677
Apr 25,195336,105615,26450,89721
Apr 26,197661,105867,26711,91794
Apr 27,199399,105571,27045,93828
Apr 28,201491,104957,27428,96534
Apr 29,203577,104403,27751,99174
Apr 30,205449,101286,28036,104163
May 01,207415,100672,28306,106743
May 02,209315,100428,28781,108887
May 03,210704,99898,28956,110806
May 04,211926,99696,29152,112230
May 05,213001,98176,29389,114825
May 06,214446,91218,29759,123228
May 07,215848,89307,30034,126541
May 08,217176,87637,30278,129539
May 09,218259,84507,30473,133752
May 10,219061,82983,30639,136078
May 11,219806,82144,30819,137662
May 12,221209,80916,30992,140293
May 13,222097,78098,31188,143999
May 14,223090,76074,31451,147016
May 15,223879,71691,31694,152188
May 16,224754,69801,31848,154953
May 17,225429,67958,31994,157471
May 18,225880,66155,32093,159725
May 19,226693,64725,32256,161968
May 20,227358,62340,32418,165018
May 21,228001,60542,32575,167459
May 22,228654,58899,32706,169755
May 23,229324,57324,32826,172000
May 24,229856,56163,32876,173693
May 25,230156,54865,32968,175291
May 26,230553,52501,33046,178052
May 27,231138,50519,33164,180619
May 28,231732,47529,33234,184203
May 29,232249,45714,33321,186535
May 30,232666,43223,33433,189443
May 31,233000,41603,33508,191397
Jun 01,233200,40893,33568,192307
Jun 02,233519,39416,33623,194103
Jun 03,233841,38819,33694,195022
Jun 04,234018,37949,33782,196069
Jun 05,234537,36492,33867,198045
Jun 06,234807,35390,33939,199417
Jun 07,235004,34773,33992,200231
Jun 08,235284,34239,34057,201045
Jun 09,235567,32376,34136,203191
Jun 10,235769,31211,34207,204558
Jun 11,236149,30136,34260,206013
Jun 12,236312,28492,34316,207820
Jun 13,236659,26977,34394,209682
Jun 14,236996,25761,34438,211235
Jun 15,237297,25394,34464,211903
Jun 16,237507,24050,34498,213457
Jun 17,237836,23405,34541,214431
Jun 18,238168,22579,34607,215589
Jun 19,238419,21417,34654,217002
Jun 20,238683,21085,34703,217598
Jun 21,238907,20844,34727,218063
Jun 22,239128,20508,34750,218620
Jun 23,239241,19441,34768,219800
Jun 24,239431,18522,34798,220909
Jun 25,239727,18170,34832,221557
Jun 26,239982,17505,34862,222477
Jun 27,240157,16703,34870,223454
Jun 28,240331,16548,34892,223783
Jun 29,240457,16363,34898,224094
Jun 30,240599,15430,34921,225169
Jul 01,240781,15122,34942,225659
Jul 02,240982,14927,34972,226055
Jul 03,241205,14751,34987,226454
Jul 04,241440,14488,35008,226952
Jul 05,241632,14509,35015,227123
Jul 06,241840,14576,35023,227264
Jul 07,241977,14109,35053,227868
Jul 08,242170,13462,35068,228708
Jul 09,242384,13326,35080,229058
Jul 10,242660,13295,35092,229365
Jul 11,242848,13170,35099,229678
Jul 12,243082,13046,35108,230036
Jul 13,243251,13024,35121,230227
Jul 14,243365,12786,35138,230579
Jul 15,243527,12360,35151,231167
Jul 16,243757,12340,35171,231417
Jul 17,243988,12323,35182,231665
Jul 18,244237,12235,35196,232002
Jul 19,244455,12307,35199,232148
Jul 20,244645,12271,35212,232374
Jul 21,244773,12115,35227,232658
Jul 22,245053,12189,35236,232864
Jul 23,245359,12271,35246,233088
Jul 24,245611,12168,35251,233443
Jul 25,245884,12308,35256,233576
Jul 26,246136,12429,35261,233707
Jul 27,246306,12447,35266,233859
Jul 28,246487,12454,35277,234033
Jul 29,246776,12462,35283,234314
Jul 30,247158,12076,35286,235082
Jul 31,247537,12268,35295,235269
Aug 01,247832,12303,35300,235529
Aug 02,248070,12302,35308,235768
Aug 03,248229,12320,35320,235909
Aug 04,248419,12328,35325,236091
Aug 05,248803,12492,35335,236311
Aug 06,249204,12540,35341,236664
Aug 07,249756,12770,35344,236986
Aug 08,250103,12799,35357,237304
Aug 09,250566,13109,35359,237457
Aug 10,250825,13214,35363,237611
Aug 11,251237,13407,35369,237830
Aug 12,251713,13637,35379,238076
Aug 13,252235,13927,35385,238308
Aug 14,252809,14095,35388,238714
Aug 15,253436,14404,35392,239032
Aug 16,253915,14733,35396,239182
Aug 17,254235,14867,35400,239368
Aug 18,254636,15089,35405,239547
Aug 19,255278,15360,35412,239918
Aug 20,256118,16014,35418,240104
