Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,5,5,0,0
Feb 25,11,11,0,0
Feb 26,26,26,0,0
Feb 27,43,43,0,0
Feb 28,45,45,0,0
Feb 29,45,45,0,0
Mar 01,46,46,0,0
Mar 02,56,56,0,0
Mar 03,56,56,0,0
Mar 04,56,56,0,0
Mar 05,58,58,0,0
Mar 06,58,57,0,1
Mar 07,61,60,0,1
Mar 08,64,63,0,1
Mar 09,65,64,0,1
Mar 10,69,68,0,1
Mar 11,72,69,0,3
Mar 12,80,75,0,5
Mar 13,100,95,0,5
Mar 14,104,97,0,7
Mar 15,112,103,0,9
Mar 16,123,114,0,9
Mar 17,130,118,0,12
Mar 18,142,127,0,15
Mar 19,148,130,0,18
Mar 20,159,137,0,22
Mar 21,176,149,0,27
Mar 22,188,158,0,30
Mar 23,189,159,0,30
Mar 24,191,152,0,39
Mar 25,195,152,0,43
Mar 26,208,159,0,49
Mar 27,225,168,0,57
Mar 28,235,171,0,64
Mar 29,255,188,0,67
Mar 30,266,194,0,72
Mar 31,289,216,0,73
Apr 01,317,237,0,80
Apr 02,342,261,0,81
Apr 03,417,335,0,82
Apr 04,479,385,1,94
Apr 05,556,456,1,100
Apr 06,665,561,1,104
Apr 07,743,637,1,106
Apr 08,855,743,1,112
Apr 09,910,798,1,112
Apr 10,993,869,1,124
Apr 11,1154,1020,1,134
Apr 12,1234,1091,1,143
Apr 13,1300,1148,2,152
Apr 14,1355,1176,3,179
Apr 15,1405,1196,3,209
Apr 16,1524,1296,3,228
Apr 17,1658,1395,5,263
Apr 18,1751,1465,6,286
Apr 19,1915,1603,7,312
Apr 20,1995,1619,9,376
Apr 21,2080,1657,11,423
Apr 22,2248,1792,13,456
Apr 23,2399,1887,14,512
Apr 24,2614,1986,15,628
Apr 25,2892,2217,19,675
Apr 26,3075,2249,20,826
Apr 27,3288,2254,22,1034
Apr 28,3440,2241,23,1199
Apr 29,3740,2327,24,1413
Apr 30,4024,2459,26,1565
May 01,4377,2745,30,1632
May 02,4619,2883,33,1736
May 03,4983,3169,38,1814
May 04,5278,3291,40,1987
May 05,5804,3732,40,2072
May 06,6289,4028,42,2261
May 07,6567,4142,44,2425
May 08,7208,4695,47,2513
May 09,7623,4952,49,2671
May 10,8688,5901,58,2787
May 11,9286,6314,65,2972
May 12,10277,7101,75,3176
May 13,11028,7683,82,3345
May 14,11975,8436,88,3539
May 15,12860,9124,96,3736
May 16,13802,9852,107,3950
May 17,14850,10645,112,4205
May 18,15691,11234,118,4457
May 19,16764,11962,121,4802
May 20,17568,12559,124,5009
May 21,18609,13275,129,5334
May 22,19564,13911,138,5653
May 23,20464,14569,148,5895
May 24,21302,15029,156,6273
May 25,21967,15181,165,6786
May 26,22575,15097,172,7478
May 27,23267,15146,175,8121
