Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,2,2,0,0
Feb 25,4,4,0,0
Feb 26,4,4,0,0
Feb 27,6,6,0,0
Feb 28,6,6,0,0
Feb 29,6,5,0,1
Mar 01,6,5,0,1
Mar 02,6,4,0,2
Mar 03,12,10,0,2
Mar 04,15,13,0,2
Mar 05,16,14,0,2
Mar 06,16,14,0,2
Mar 07,16,14,0,2
Mar 08,16,14,0,2
Mar 09,18,9,0,9
Mar 10,18,9,0,9
Mar 11,18,9,0,9
Mar 12,18,9,0,9
Mar 13,19,10,0,9
Mar 14,20,11,0,9
Mar 15,22,13,0,9
Mar 16,24,15,0,9
Mar 17,33,21,0,12
Mar 18,39,26,0,13
Mar 19,48,35,0,13
Mar 20,48,35,0,13
Mar 21,52,39,0,13
Mar 22,55,38,0,17
Mar 23,66,49,0,17
Mar 24,84,67,0,17
Mar 25,99,82,0,17
Mar 26,109,86,0,23
Mar 27,131,108,0,23
Mar 28,152,129,0,23
Mar 29,167,144,0,23
Mar 30,179,150,0,29
Mar 31,192,157,1,35
Apr 01,210,175,1,35
Apr 02,231,173,1,58
Apr 03,252,194,1,58
Apr 04,277,214,2,63
Apr 05,298,235,2,63
Apr 06,331,268,2,63
Apr 07,371,302,2,69
Apr 08,419,345,2,74
Apr 09,457,345,3,112
Apr 10,484,372,3,112
Apr 11,546,434,3,112
Apr 12,599,486,4,113
Apr 13,727,599,4,128
Apr 14,813,679,4,134
Apr 15,910,775,4,135
Apr 16,1019,839,4,180
Apr 17,1069,887,6,182
Apr 18,1180,998,6,182
Apr 19,1266,1026,7,240
Apr 20,1410,1165,7,245
Apr 21,1508,1262,8,246
Apr 22,1614,1368,8,246
Apr 23,1716,1400,9,316
Apr 24,1790,1455,10,335
Apr 25,1905,1566,10,339
Apr 26,1998,1655,10,343
Apr 27,2049,1675,10,374
Apr 28,2131,1757,10,374
