Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,0,1,3
Feb 16,3,0,1,3
Feb 17,3,0,1,3
Feb 18,3,0,1,3
Feb 19,3,0,1,3
Feb 20,3,0,1,3
Feb 21,3,0,1,3
Feb 22,3,0,1,3
Feb 23,3,0,1,3
Feb 24,3,0,1,3
Feb 25,3,0,1,3
Feb 26,3,0,1,3
Feb 27,3,0,1,3
Feb 28,3,0,1,3
Feb 29,3,0,1,3
Mar 01,3,0,1,3
Mar 02,3,0,1,3
Mar 03,3,0,1,3
Mar 04,3,0,1,3
Mar 05,3,0,1,3
Mar 06,5,2,1,3
Mar 07,6,3,1,3
Mar 08,10,7,1,3
Mar 09,24,21,1,3
Mar 10,33,30,1,3
Mar 11,49,45,2,4
Mar 12,52,45,5,7
Mar 13,64,57,5,7
Mar 14,111,101,8,10
Mar 15,140,126,12,14
Mar 16,142,127,12,15
Mar 17,187,169,14,18
Mar 18,202,178,17,24
Mar 19,217,192,17,25
Mar 20,230,204,18,26
Mar 21,307,275,19,32
Mar 22,380,340,25,40
Mar 23,462,411,33,51
Mar 24,552,497,35,55
Mar 25,636,572,38,64
Mar 26,707,634,45,73
Mar 27,803,718,54,85
Mar 28,1075,972,68,103
Mar 29,1418,1305,71,113
Mar 30,1546,1426,78,120
Mar 31,2084,1947,88,137
Apr 01,2311,2165,96,146
Apr 02,2633,2475,107,158
Apr 03,3018,2830,136,188
Apr 04,3094,2893,144,201
Apr 05,3246,3030,152,216
Apr 06,3660,3424,163,236
Apr 07,3764,3503,177,261
Apr 08,3870,3592,182,278
Apr 09,4076,3749,203,327
Apr 10,4195,3834,221,361
Apr 11,4428,4024,247,404
Apr 12,4648,4154,297,494
Apr 13,4932,4375,315,557
