Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,3,0,1,3
Feb 16,3,0,1,3
Feb 17,3,0,1,3
Feb 18,3,0,1,3
Feb 19,3,0,1,3
Feb 20,3,0,1,3
Feb 21,3,0,1,3
Feb 22,3,0,1,3
Feb 23,3,0,1,3
Feb 24,3,0,1,3
Feb 25,3,0,1,3
Feb 26,3,0,1,3
Feb 27,3,0,1,3
Feb 28,3,0,1,3
Feb 29,3,0,1,3
Mar 01,3,0,1,3
Mar 02,3,0,1,3
Mar 03,3,0,1,3
Mar 04,3,0,1,3
Mar 05,3,0,1,3
Mar 06,5,2,1,3
Mar 07,6,3,1,3
Mar 08,10,7,1,3
Mar 09,24,21,1,3
Mar 10,33,30,1,3
Mar 11,49,45,2,4
Mar 12,52,45,5,7
Mar 13,64,57,5,7
Mar 14,111,101,8,10
Mar 15,140,126,12,14
Mar 16,142,127,12,15
Mar 17,187,169,14,18
Mar 18,202,178,17,24
Mar 19,217,192,17,25
Mar 20,230,204,18,26
Mar 21,307,275,19,32
Mar 22,380,340,25,40
Mar 23,462,411,33,51
Mar 24,552,497,35,55
Mar 25,636,572,38,64
Mar 26,707,634,45,73
Mar 27,803,718,54,85
Mar 28,1075,972,68,103
Mar 29,1418,1305,71,113
Mar 30,1546,1426,78,120
Mar 31,2084,1947,88,137
Apr 01,2311,2165,96,146
Apr 02,2633,2475,107,158
Apr 03,3018,2830,136,188
Apr 04,3094,2893,144,201
Apr 05,3246,3030,152,216
Apr 06,3660,3424,163,236
Apr 07,3764,3503,177,261
Apr 08,3870,3592,182,278
Apr 09,4076,3749,203,327
Apr 10,4195,3834,221,361
Apr 11,4428,4024,247,404
Apr 12,4648,4154,297,494
Apr 13,4932,4375,315,557
Apr 14,5223,4593,335,630
Apr 15,5453,4751,349,702
Apr 16,5660,4863,362,797
Apr 17,5878,5004,387,874
Apr 18,6087,5174,397,913
Apr 19,6259,5278,409,981
Apr 20,6459,5418,428,1041
Apr 21,6599,5508,437,1091
Apr 22,6710,5571,446,1139
Apr 23,6981,5797,462,1184
Apr 24,7192,5953,477,1239
Apr 25,7294,6008,494,1286
Apr 26,7579,6216,501,1363
Apr 27,7777,6334,511,1443
Apr 28,7958,6453,530,1505
Apr 29,8212,6631,558,1581
Apr 30,8488,6877,568,1611
May 01,8772,7109,579,1663
May 02,8928,7201,603,1727
May 03,9223,7402,607,1821
May 04,9485,7547,623,1938
May 05,9684,7639,637,2045
May 06,10004,7840,658,2164
May 07,10343,8040,685,2303
May 08,10463,8033,696,2430
May 09,10610,8064,704,2546
May 10,10794,8151,719,2643
May 11,11086,8361,726,2725
May 12,11350,8493,751,2857
May 13,11618,8595,772,3023
May 14,11876,8749,790,3127
May 15,12091,8825,806,3266
May 16,12305,8927,817,3378
May 17,12513,9054,824,3459
May 18,12718,9158,831,3560
May 19,12942,9262,837,3680
May 20,13221,9447,842,3774
May 21,13434,9588,846,3846
May 22,13597,9648,857,3949
May 23,13777,9737,863,4040
May 24,14035,9918,868,4117
May 25,14319,10123,873,4196
May 26,14669,10371,886,4298
May 27,15049,10639,904,4410
May 28,15588,11069,921,4519
May 29,16634,11972,942,4662
May 30,17224,12466,950,4758
May 31,18086,13220,957,4866
Jun 01,18638,13699,960,4939
Jun 02,18997,13968,966,5029
Jun 03,19748,14621,974,5127
Jun 04,20382,15150,984,5232
Jun 05,20626,15309,987,5317
Jun 06,21340,15905,994,5435
Jun 07,21895,16362,1003,5533
Jun 08,22474,16826,1011,5648
Jun 09,22992,17239,1017,5753
Jun 10,23732,17810,1027,5922
Jun 11,24175,17974,1036,6201
Jun 12,24787,18281,1052,6506
Jun 13,25392,18612,1074,6780
Jun 14,25930,18888,1088,7042
Jun 15,26420,19070,1098,7350
Jun 16,26781,19126,1103,7655
Jun 17,27238,19310,1108,7928
Jun 18,27799,19593,1116,8206
Jun 19,28459,19951,1130,8508
Jun 20,29400,20600,1150,8800
Jun 21,30052,20990,1169,9062
Jun 22,30682,21362,1177,9320
Jun 23,31825,22197,1186,9628
Jun 24,32295,22435,1204,9860
Jun 25,33069,22947,1212,10122
Jun 26,34073,23667,1224,10406
Jun 27,34803,24137,1236,10666
Jun 28,35455,24525,1244,10930
Jun 29,36438,25227,1255,11211
Jun 30,37514,26015,1266,11499
Jul 01,38511,26803,1270,11708
Jul 02,38805,26858,1274,11947
Jul 03,40336,27983,1280,12353
Jul 04,41830,29087,1290,12743
Jul 05,44254,31015,1297,13239
Jul 06,46333,32845,1303,13488
Jul 07,47873,34178,1309,13695
Jul 08,50359,36457,1314,13902
Jul 09,51754,37627,1314,14127
Jul 10,52914,38324,1360,14590
Jul 11,54222,38813,1372,15409
Jul 12,56259,38679,1534,17580
Jul 13,56911,34943,1597,21968
Jul 14,57458,35396,1603,22062
Jul 15,58768,36178,1614,22590
Jul 16,61160,38080,1643,23080
Jul 17,62947,39541,1660,23406
Jul 18,65215,41375,1773,23840
Jul 19,67377,43081,1831,24296
Jul 20,68813,43906,1835,24907
Jul 21,70675,45557,1837,25118
Jul 22,72190,46724,1843,25466
Jul 23,74341,48119,1864,26222
Jul 24,76444,50063,1879,26381
Jul 25,78412,50763,1897,27649
Jul 26,80383,52367,1929,28016
Jul 27,81995,53608,1943,28387
Jul 28,83612,55058,1946,28554
Jul 29,85420,56470,1960,28950
Jul 30,89291,22286,1983,67005
Jul 31,93269,26075,2022,67194
Aug 01,98153,30857,2039,67296
Aug 02,103104,35498,2059,67606
Aug 03,106241,38328,2104,67913
Aug 04,112518,44356,2114,68162
Aug 05,115899,47509,2122,68390
Aug 06,119375,50452,2144,68923
Aug 07,122754,53734,2168,69020
Aug 08,126885,57559,2209,69326
Aug 09,129680,59880,2270,69800
Aug 10,136551,66106,2293,70445
Aug 11,139305,68633,2311,70672
Aug 12,143524,72137,2403,71387
Aug 13,147444,74651,2426,72793
Aug 14,153567,79802,2441,73765
Aug 15,157833,83044,2600,74789
Aug 16,161160,45975,2663,115185
Aug 17,164377,49017,2681,115360
Aug 18,169124,53675,2684,115449
Aug 19,173683,57501,2795,116182
Aug 20,177579,60795,2881,116784
