Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,1,1,0,0
Feb 28,3,2,0,1
Feb 29,3,2,0,1
Mar 01,3,2,0,1
Mar 02,3,2,0,1
Mar 03,4,3,0,1
Mar 04,6,5,0,1
Mar 05,6,3,0,3
Mar 06,9,6,0,3
Mar 07,13,10,0,3
Mar 08,15,10,0,5
Mar 09,17,12,0,5
Mar 10,29,24,0,5
Mar 11,47,41,0,6
Mar 12,59,52,0,7
Mar 13,95,88,0,7
Mar 14,123,114,0,9
Mar 15,139,130,0,9
Mar 16,168,159,0,9
Mar 17,217,198,0,19
Mar 18,260,241,0,19
Mar 19,277,252,0,25
Mar 20,308,277,0,31
Mar 21,367,315,0,52
Mar 22,433,366,3,67
Mar 23,576,496,7,80
Mar 24,794,703,12,91
Mar 25,906,803,17,103
Mar 26,1029,912,23,117
Mar 27,1292,1151,26,141
Mar 28,1452,1276,37,176
Mar 29,1815,1566,43,249
Mar 30,2109,1835,65,274
Mar 31,2245,1943,82,302
Apr 01,2460,2116,92,344
Apr 02,2738,2356,115,382
Apr 03,3183,2767,133,416
Apr 04,3613,3138,146,475
Apr 05,3864,3339,151,525
Apr 06,4057,3475,176,582
Apr 07,4417,3760,197,657
Apr 08,4761,4013,220,748
Apr 09,5202,4307,248,895
Apr 10,5467,4468,270,999
Apr 11,5990,4941,291,1049
Apr 12,6300,5132,316,1168
Apr 13,6633,5388,331,1245
