Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,1,1,0,0
Mar 03,2,2,0,0
Mar 04,4,4,0,0
Mar 05,4,4,0,0
Mar 06,4,3,0,1
Mar 07,4,3,0,1
Mar 08,4,3,0,1
Mar 09,4,3,0,1
Mar 10,4,3,0,1
Mar 11,4,3,0,1
Mar 12,10,9,0,1
Mar 13,21,19,0,2
Mar 14,24,22,0,2
Mar 15,24,22,0,2
Mar 16,27,25,0,2
Mar 17,27,25,0,2
Mar 18,36,34,0,2
Mar 19,36,34,0,2
Mar 20,47,42,0,5
Mar 21,56,51,0,5
Mar 22,67,62,0,5
Mar 23,79,71,0,8
Mar 24,86,78,0,8
Mar 25,99,90,0,9
Mar 26,105,96,0,9
Mar 27,119,108,0,11
Mar 28,130,112,0,18
Mar 29,142,115,0,27
Mar 30,162,135,0,27
Mar 31,175,135,0,40
Apr 01,190,144,1,46
Apr 02,195,139,1,56
Apr 03,207,140,1,67
Apr 04,219,145,2,74
Apr 05,222,138,2,84
Apr 06,226,132,2,94
Apr 07,237,130,2,107
Apr 08,244,129,2,115
Apr 09,250,125,2,125
Apr 10,265,126,2,139
Apr 11,278,124,2,154
Apr 12,280,107,2,173
Apr 13,291,111,2,180
Apr 14,299,114,2,185
Apr 15,314,122,2,192
Apr 16,335,139,2,196
Apr 17,342,142,2,200
Apr 18,350,136,3,214
Apr 19,367,144,3,223
Apr 20,377,137,5,240
Apr 21,412,165,5,247
Apr 22,442,183,6,259
Apr 23,479,216,6,263
Apr 24,545,276,7,269
Apr 25,614,331,7,283
Apr 26,671,379,9,292
Apr 27,736,443,9,293
Apr 28,823,518,9,305
