Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,0,0,0,0
Mar 04,1,1,0,0
Mar 05,6,6,0,0
Mar 06,8,8,0,0
Mar 07,12,12,0,0
Mar 08,16,16,0,0
Mar 09,25,25,0,0
Mar 10,34,34,0,0
Mar 11,57,57,0,0
Mar 12,96,96,0,0
Mar 13,141,141,0,0
Mar 14,181,180,1,1
Mar 15,219,218,1,1
Mar 16,253,252,1,1
Mar 17,275,274,1,1
Mar 18,286,285,1,1
Mar 19,319,318,1,1
Mar 20,341,340,1,1
Mar 21,383,382,1,1
Mar 22,414,412,2,2
Mar 23,442,439,3,3
Mar 24,480,473,4,7
Mar 25,528,513,5,15
Mar 26,562,546,6,16
Mar 27,632,613,9,19
Mar 28,684,665,9,19
Mar 29,730,709,11,21
Mar 30,756,735,11,21
Mar 31,802,777,15,25
Apr 01,841,816,15,25
Apr 02,897,810,17,87
Apr 03,934,844,20,90
Apr 04,977,876,22,101
Apr 05,997,890,28,107
Apr 06,1021,889,30,132
Apr 07,1059,921,36,138
Apr 08,1091,931,40,160
Apr 09,1124,953,43,171
Apr 10,1160,978,45,182
Apr 11,1188,990,50,198
Apr 12,1205,1002,53,203
Apr 13,1212,1005,55,207
Apr 14,1220,1012,56,208
Apr 15,1248,1022,61,226
Apr 16,1268,1033,61,235
Apr 17,1304,1064,66,240
Apr 18,1317,1057,70,260
Apr 19,1330,1064,74,266
Apr 20,1335,1065,77,270
Apr 21,1344,1070,77,274
Apr 22,1353,1069,79,284
Apr 23,1366,1076,79,290
Apr 24,1373,1082,80,291
Apr 25,1388,1088,81,300
Apr 26,1396,1093,82,303
Apr 27,1402,1098,83,304
Apr 28,1408,1099,86,309
