Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,2,0,0,2
Feb 16,2,0,0,2
Feb 17,2,0,0,2
Feb 18,2,0,0,2
Feb 19,2,0,0,2
Feb 20,2,0,0,2
Feb 21,2,0,0,2
Feb 22,2,0,0,2
Feb 23,2,0,0,2
Feb 24,3,1,0,2
Feb 25,9,7,0,2
Feb 26,13,11,0,2
Feb 27,25,23,0,2
Feb 28,33,31,0,2
Feb 29,58,56,0,2
Mar 01,84,82,0,2
Mar 02,120,118,0,2
Mar 03,165,162,1,3
Mar 04,228,224,2,4
Mar 05,282,276,3,6
Mar 06,401,387,8,14
Mar 07,525,485,10,40
Mar 08,674,625,17,49
Mar 09,1231,1169,30,62
Mar 10,1695,1524,36,171
Mar 11,2277,2039,55,238
Mar 12,3146,2871,86,275
Mar 13,5232,4906,133,326
Mar 14,6391,5678,196,713
Mar 15,7988,7177,294,811
Mar 16,9942,9070,342,872
Mar 17,11826,10265,533,1561
Mar 18,14769,13050,638,1719
Mar 19,18077,16139,831,1938
Mar 20,21571,18890,1093,2681
Mar 21,25496,21990,1381,3506
Mar 22,28768,24421,1772,4347
Mar 23,35136,29470,2311,5666
Mar 24,42058,35273,2991,6785
Mar 25,49515,40501,3647,9014
Mar 26,57786,46406,4365,11380
Mar 27,65719,51224,5138,14495
Mar 28,73235,54968,5982,18267
Mar 29,80110,58598,6803,21512
Mar 30,87956,63460,7716,24496
Mar 31,95923,68200,8464,27723
Apr 01,104118,72084,9387,32034
Apr 02,112065,74974,10348,37091
Apr 03,119199,77488,11198,41711
Apr 04,126168,80002,11947,46166
Apr 05,131646,80925,12641,50721
Apr 06,136675,82897,13341,53778
Apr 07,141942,84689,14045,57253
Apr 08,148220,85407,14792,62813
Apr 09,153222,85610,15447,67612
Apr 10,158273,86524,16081,71749
Apr 11,163027,87312,16606,75715
Apr 12,166831,87231,17209,79600
Apr 13,170099,87616,17756,82483
