Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,18,16,0,2
Feb 16,20,17,1,3
Feb 17,22,19,1,3
Feb 18,22,19,1,3
Feb 19,23,20,1,3
Feb 20,24,21,1,3
Feb 21,26,23,1,3
Feb 22,26,23,1,3
Feb 23,28,25,1,3
Feb 24,30,27,1,3
Feb 25,31,25,1,6
Feb 26,32,26,1,6
Feb 27,32,26,1,6
Feb 28,34,28,1,6
Feb 29,39,29,1,10
Mar 01,40,27,1,13
Mar 02,41,28,1,13
Mar 03,42,29,1,13
Mar 04,42,29,1,13
Mar 05,44,31,1,13
Mar 06,45,29,1,16
Mar 07,45,29,1,16
Mar 08,45,29,1,16
Mar 09,45,29,1,16
Mar 10,47,29,1,18
Mar 11,48,27,1,21
Mar 12,49,28,1,21
Mar 13,50,29,1,21
Mar 14,53,32,1,21
Mar 15,59,38,1,21
Mar 16,67,46,1,21
Mar 17,77,56,1,21
Mar 18,100,77,1,23
Mar 19,108,81,1,27
Mar 20,135,105,2,30
Mar 21,153,123,2,30
Mar 22,169,139,2,30
Mar 23,195,165,2,30
Mar 24,216,185,2,31
Mar 25,235,204,2,31
Mar 26,252,221,2,31
Mar 27,267,235,2,32
Mar 28,283,251,2,32
Mar 29,298,256,3,42
Mar 30,306,262,5,44
Mar 31,322,278,5,44
Apr 01,329,279,5,50
Apr 02,339,284,5,55
Apr 03,348,293,5,55
Apr 04,355,300,5,55
Apr 05,363,304,5,59
Apr 06,373,311,5,62
Apr 07,376,310,5,66
Apr 08,379,307,5,72
Apr 09,380,295,5,85
Apr 10,382,285,6,97
Apr 11,385,280,6,105
Apr 12,388,273,6,115
Apr 13,393,273,6,120
Apr 14,393,263,6,130
Apr 15,395,252,6,143
Apr 16,395,234,6,161
Apr 17,395,223,6,172
Apr 18,398,214,6,184
Apr 19,420,225,6,195
Apr 20,422,213,6,209
Apr 21,425,202,6,223
Apr 22,426,184,6,242
Apr 23,427,168,6,259
Apr 24,428,158,6,270
Apr 25,429,148,6,281
Apr 26,429,142,6,287
Apr 27,429,133,6,296
Apr 28,429,116,6,313
Apr 29,429,112,6,317
Apr 30,429,101,6,328
May 01,429,99,6,330
May 02,432,102,6,330
May 03,432,94,6,338
May 04,438,98,6,340
May 05,438,98,6,340
May 06,439,94,6,345
May 07,440,87,6,353
May 08,440,79,6,361
May 09,440,73,6,367
May 10,440,68,6,372
May 11,440,65,7,375
May 12,440,61,7,379
May 13,440,58,7,382
May 14,440,50,7,390
May 15,440,46,7,394
May 16,440,44,7,396
May 17,440,38,7,402
May 18,440,35,7,405
May 19,440,32,7,408
May 20,440,31,7,409
May 21,441,27,7,414
May 22,441,26,7,415
May 23,441,23,7,418
May 24,441,20,7,421
May 25,441,19,7,422
May 26,441,18,7,423
May 27,441,15,7,426
May 28,441,14,7,427
May 29,442,15,7,427
May 30,442,14,7,428
May 31,442,12,7,430
Jun 01,443,9,7,434
Jun 02,443,9,7,434
Jun 03,443,8,7,435
Jun 04,443,8,7,435
Jun 05,443,7,7,436
Jun 06,443,7,7,436
Jun 07,443,6,7,437
Jun 08,443,6,7,437
Jun 09,443,6,7,437
Jun 10,443,5,7,438
Jun 11,443,5,7,438
Jun 12,443,5,7,438
Jun 13,443,5,7,438
Jun 14,443,5,7,438
Jun 15,445,5,7,440
Jun 16,445,5,7,440
Jun 17,445,4,7,441
Jun 18,446,5,7,441
Jun 19,446,5,7,441
Jun 20,446,5,7,441
Jun 21,446,5,7,441
Jun 22,446,4,7,442
Jun 23,446,4,7,442
Jun 24,446,4,7,442
Jun 25,447,5,7,442
Jun 26,447,5,7,442
Jun 27,447,5,7,442
Jun 28,447,5,7,442
Jun 29,447,5,7,442
Jun 30,447,3,7,444
Jul 01,447,2,7,445
Jul 02,448,3,7,445
Jul 03,449,4,7,445
Jul 04,449,4,7,445
Jul 05,449,4,7,445
Jul 06,449,4,7,445
Jul 07,449,4,7,445
Jul 08,449,4,7,445
Jul 09,449,4,7,445
Jul 10,451,6,7,445
Jul 11,451,6,7,445
Jul 12,451,6,7,445
Jul 13,451,4,7,447
Jul 14,451,4,7,447
Jul 15,451,4,7,447
Jul 16,452,5,7,447
Jul 17,454,7,7,447
Jul 18,454,7,7,447
Jul 19,455,8,7,447
Jul 20,455,8,7,447
Jul 21,455,8,7,447
Jul 22,455,8,7,447
Jul 23,455,8,7,447
Jul 24,458,11,7,447
Jul 25,458,11,7,447
Jul 26,458,11,7,447
Jul 27,462,15,7,447
Jul 28,467,20,7,447
Jul 29,467,19,7,448
Jul 30,467,19,7,448
Jul 31,467,19,7,448
Aug 01,474,26,7,448
Aug 02,475,27,7,448
Aug 03,475,27,7,448
Aug 04,476,28,7,448
Aug 05,476,26,7,450
Aug 06,477,27,7,450
Aug 07,477,27,7,450
Aug 08,479,29,7,450
Aug 09,480,30,7,450
Aug 10,480,30,7,450
Aug 11,480,30,7,450
Aug 12,481,24,7,457
Aug 13,481,24,7,457
Aug 14,481,24,7,457
Aug 15,482,25,7,457
Aug 16,484,27,7,457
Aug 17,485,28,7,457
Aug 18,486,29,7,457
Aug 19,486,22,7,464
Aug 20,486,22,7,464
