Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,0,0,0,0
Feb 27,0,0,0,0
Feb 28,0,0,0,0
Feb 29,0,0,0,0
Mar 01,0,0,0,0
Mar 02,0,0,0,0
Mar 03,1,1,0,0
Mar 04,1,1,0,0
Mar 05,1,1,0,0
Mar 06,1,1,0,0
Mar 07,1,1,0,0
Mar 08,1,1,0,0
Mar 09,1,1,0,0
Mar 10,1,1,0,0
Mar 11,1,1,0,0
Mar 12,3,3,0,0
Mar 13,3,2,1,1
Mar 14,3,2,1,1
Mar 15,3,2,1,1
Mar 16,7,6,1,1
Mar 17,14,12,2,2
Mar 18,16,14,2,2
Mar 19,26,23,3,3
Mar 20,41,37,3,4
Mar 21,47,43,3,4
Mar 22,73,69,3,4
Mar 23,73,69,3,4
Mar 24,102,98,3,4
Mar 25,145,139,5,6
Mar 26,196,190,5,6
Mar 27,310,300,5,10
Mar 28,356,342,9,14
Mar 29,475,459,10,16
Mar 30,548,527,13,21
Mar 31,645,618,17,27
Apr 01,794,761,20,33
Apr 02,897,856,22,41
Apr 03,1072,1023,27,49
Apr 04,1225,1168,32,57
Apr 05,1308,1243,37,65
Apr 06,1319,1253,38,66
Apr 07,1462,1389,45,73
Apr 08,1668,1581,52,87
Apr 09,1892,1790,57,102
Apr 10,2203,2073,69,130
Apr 11,2511,2359,73,152
Apr 12,2777,2605,83,172
Apr 13,3102,2912,93,190
Apr 14,3372,3155,98,217
Apr 15,3764,3513,108,251
Apr 16,4161,3859,116,302
Apr 17,4662,4291,125,371
Apr 18,5106,4698,133,408
Apr 19,5449,4961,141,488
Apr 20,5710,5200,151,510
Apr 21,6125,5597,161,528
Apr 22,6592,5994,174,598
Apr 23,7170,6479,187,691
Apr 24,7647,6853,193,794
Apr 25,8125,7142,201,983
Apr 26,8617,7568,209,1049
Apr 27,9009,7925,220,1084
Apr 28,9410,8179,239,1231
Apr 29,9866,8513,250,1353
Apr 30,10406,8907,261,1499
May 01,10861,9176,272,1685
May 02,11411,9634,279,1777
May 03,11913,10077,288,1836
May 04,12331,10409,303,1922
May 05,12697,10506,316,2191
May 06,13184,10760,327,2424
May 07,13691,10955,340,2736
May 08,14195,11128,361,3067
May 09,14710,11425,376,3285
May 10,15232,11781,391,3451
May 11,15648,11952,408,3696
May 12,16023,12225,425,3798
May 13,16425,12270,439,4155
May 14,16847,12248,456,4599
May 15,17330,12381,476,4949
May 16,17858,12455,497,5403
May 17,18291,12661,514,5630
May 18,18616,12805,535,5811
May 19,18876,12696,548,6180
May 20,19230,12711,564,6519
May 21,19706,12900,579,6806
May 22,20148,12975,588,7173
May 23,20580,13046,605,7534
May 24,20986,13261,617,7725
May 25,21245,13388,623,7857
May 26,21584,13365,644,8219
May 27,21905,13252,658,8653
May 28,22382,13274,669,9108
May 29,22811,13198,679,9613
May 30,23204,13197,696,10007
May 31,23672,13426,708,10246
Jun 01,24012,13604,718,10408
Jun 02,24340,13535,727,10805
Jun 03,24823,13648,735,11175
Jun 04,25411,13622,747,11789
Jun 05,25964,13830,762,12134
Jun 06,26514,13925,777,12589
Jun 07,26999,14157,788,12842
Jun 08,27462,14470,797,12992
Jun 09,27856,14634,810,13222
Jun 10,28381,14779,833,13602
Jun 11,29070,15075,854,13995
Jun 12,29753,15316,870,14437
Jun 13,30506,15650,880,14856
Jun 14,31154,16183,889,14971
Jun 15,31810,16656,901,15154
Jun 16,32476,17036,912,15440
Jun 17,33234,17348,943,15886
Jun 18,34063,17650,966,16413
Jun 19,34984,17966,985,17018
Jun 20,35825,18425,994,17400
Jun 21,36560,19049,1002,17511
Jun 22,37241,19587,1012,17654
Jun 23,38074,20083,1035,17991
Jun 24,39014,20554,1051,18460
Jun 25,40008,21183,1067,18825
Jun 26,41117,21732,1086,19385
Jun 27,42065,22254,1110,19811
Jun 28,42982,22919,1129,20063
Jun 29,43628,23454,1147,20174
Jun 30,44334,24060,1159,20274
Jul 01,44998,24277,1173,20721
Jul 02,45887,24649,1185,21238
Jul 03,46763,24993,1212,21770
Jul 04,47677,25335,1227,22342
Jul 05,48500,25875,1249,22625
Jul 06,49043,26078,1262,22965
Jul 07,49607,26131,1283,23476
Jul 08,50414,25989,1306,24425
Jul 09,51224,26113,1327,25111
Jul 10,52043,25898,1345,26145
Jul 11,52843,25810,1372,27033
Jul 12,53521,26020,1383,27501
Jul 13,54133,26232,1398,27901
Jul 14,54771,26205,1412,28566
Jul 15,55607,26049,1427,29558
Jul 16,56455,26079,1445,30376
Jul 17,57264,26039,1456,31225
Jul 18,58111,26109,1477,32002
Jul 19,58842,26478,1485,32364
Jul 20,59493,26556,1498,32937
Jul 21,60166,26449,1518,33717
Jul 22,60995,26289,1534,34706
Jul 23,61851,26300,1551,35551
Jul 24,62823,26366,1571,36457
Jul 25,63929,26842,1590,37087
Jul 26,64849,27437,1605,37412
Jul 27,65656,27928,1616,37728
Jul 28,66575,28202,1629,38373
Jul 29,67597,28553,1650,39044
Jul 30,68794,28967,1673,39827
Jul 31,69884,29439,1693,40445
Aug 01,71056,30039,1709,41017
Aug 02,72168,30900,1725,41268
Aug 03,73158,31544,1738,41614
Aug 04,74219,31842,1764,42377
Aug 05,75490,32175,1788,43315
Aug 06,76808,32465,1819,44343
Aug 07,78261,33354,1852,44907
Aug 08,79750,34216,1879,45534
Aug 09,80949,35080,1897,45869
Aug 10,81957,35676,1922,46281
Aug 11,83115,36230,1951,46885
Aug 12,84548,36892,1970,47656
Aug 13,86140,37932,1992,48208
Aug 14,87872,39064,2011,48808
Aug 15,89719,40245,2044,49474
Aug 16,91356,41464,2070,49892
Aug 17,92820,42567,2089,50253
Aug 18,94436,43395,2116,51041
Aug 19,96403,44522,2144,51881
Aug 20,98537,45912,2184,52625
