Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,1,1,0,0
Feb 16,1,1,0,0
Feb 17,1,1,0,0
Feb 18,1,1,0,0
Feb 19,1,1,0,0
Feb 20,1,0,0,1
Feb 21,1,0,0,1
Feb 22,1,0,0,1
Feb 23,1,0,0,1
Feb 24,1,0,0,1
Feb 25,1,0,0,1
Feb 26,1,0,0,1
Feb 27,1,0,0,1
Feb 28,1,0,0,1
Feb 29,1,0,0,1
Mar 01,2,1,0,1
Mar 02,2,1,0,1
Mar 03,2,1,0,1
Mar 04,2,1,0,1
Mar 05,3,2,0,1
Mar 06,15,14,0,1
Mar 07,48,47,0,1
Mar 08,55,53,1,2
Mar 09,59,57,1,2
Mar 10,59,32,1,27
Mar 11,67,39,1,28
Mar 12,80,51,2,29
Mar 13,93,64,2,29
Mar 14,110,81,2,29
Mar 15,126,92,2,34
Mar 16,166,130,4,36
Mar 17,196,164,6,32
Mar 18,210,176,6,34
Mar 19,256,207,7,49
Mar 20,285,235,8,50
Mar 21,294,242,10,52
Mar 22,327,257,14,70
Mar 23,366,279,19,87
Mar 24,402,302,20,100
Mar 25,456,340,21,116
Mar 26,495,369,24,126
Mar 27,536,390,30,146
Mar 28,576,419,36,157
Mar 29,609,437,40,172
Mar 30,656,465,41,191
Mar 31,710,507,46,203
Apr 01,779,548,52,231
Apr 02,865,606,58,259
Apr 03,985,703,66,282
Apr 04,1070,758,71,312
Apr 05,1173,848,78,325
Apr 06,1322,978,85,344
Apr 07,1450,1080,94,370
Apr 08,1560,1152,103,408
Apr 09,1699,1233,118,466
Apr 10,1794,1275,135,519
Apr 11,1939,1367,146,572
Apr 12,2065,1317,159,748
