Date,Total Cases,Active Cases,Total Deaths,Cases with Outcome
Feb 15,0,0,0,0
Feb 16,0,0,0,0
Feb 17,0,0,0,0
Feb 18,0,0,0,0
Feb 19,0,0,0,0
Feb 20,0,0,0,0
Feb 21,0,0,0,0
Feb 22,0,0,0,0
Feb 23,0,0,0,0
Feb 24,0,0,0,0
Feb 25,0,0,0,0
Feb 26,1,1,0,0
Feb 27,4,4,0,0
Feb 28,6,6,0,0
Feb 29,15,15,0,0
Mar 01,19,19,0,0
Mar 02,25,25,0,0
Mar 03,33,33,0,0
Mar 04,59,59,0,0
Mar 05,94,94,0,0
Mar 06,127,126,0,1
Mar 07,156,156,0,0
Mar 08,176,175,0,1
Mar 09,227,226,0,1
Mar 10,400,399,0,1
Mar 11,629,628,0,1
Mar 12,800,798,1,2
Mar 13,996,994,1,2
Mar 14,1109,1105,3,4
Mar 15,1256,1252,3,4
Mar 16,1348,1344,3,4
Mar 17,1471,1467,3,4
Mar 18,1591,1584,6,7
Mar 19,1790,1782,7,8
Mar 20,1959,1951,7,8
Mar 21,2164,2151,7,13
Mar 22,2385,2372,7,13
Mar 23,2625,2609,10,16
Mar 24,2866,2848,12,18
Mar 25,3084,3064,14,20
Mar 26,3372,3352,14,20
Mar 27,3771,3745,19,26
Mar 28,4015,3985,23,30
Mar 29,4284,4251,26,33
Mar 30,4445,4401,32,44
Mar 31,4641,4589,39,52
Apr 01,4877,4820,44,57
Apr 02,5147,5065,50,82
Apr 03,5370,5279,59,91
Apr 04,5550,5456,62,94
Apr 05,5687,5584,71,103
Apr 06,5865,5757,76,108
Apr 07,6086,5965,89,121
Apr 08,6042,5909,101,133
Apr 09,6219,6079,108,140
Apr 10,6314,6169,113,145
Apr 11,6409,6258,119,151
Apr 12,6525,6365,128,160
